"Timestamp","320.005-SB401_R_Tl_Etl","320.005-RT503_Tl_Etl"
"23/02/2022 23:59:00","50,000","41,080"
"23/02/2022 23:58:00","50,000","41,100"
"23/02/2022 23:57:00","50,000","41,100"
"23/02/2022 23:56:00","50,000","41,140"
"23/02/2022 23:55:00","50,000","41,160"
"23/02/2022 23:54:00","50,000","41,180"
"23/02/2022 23:53:00","50,000","41,200"
"23/02/2022 23:52:00","50,000","41,220"
"23/02/2022 23:51:00","50,000","41,250"
"23/02/2022 23:50:00","50,000","41,280"
"23/02/2022 23:49:00","50,000","41,300"
"23/02/2022 23:48:00","50,000","41,340"
"23/02/2022 23:47:00","50,000","41,370"
"23/02/2022 23:46:00","50,000","41,410"
"23/02/2022 23:45:00","50,000","41,450"
"23/02/2022 23:44:00","50,000","41,500"
"23/02/2022 23:43:00","50,000","41,540"
"23/02/2022 23:42:00","50,000","41,590"
"23/02/2022 23:41:00","50,000","41,650"
"23/02/2022 23:40:00","50,000","41,720"
"23/02/2022 23:39:00","50,000","41,780"
"23/02/2022 23:38:00","50,000","41,850"
"23/02/2022 23:37:00","50,000","41,900"
"23/02/2022 23:36:00","50,000","41,960"
"23/02/2022 23:35:00","50,000","42,000"
"23/02/2022 23:34:00","50,000","42,040"
"23/02/2022 23:33:00","50,000","42,090"
"23/02/2022 23:32:00","50,000","42,110"
"23/02/2022 23:31:00","50,000","42,130"
"23/02/2022 23:30:00","50,000","42,160"
"23/02/2022 23:29:00","50,000","42,160"
"23/02/2022 23:28:00","50,000","42,160"
"23/02/2022 23:27:00","50,000","42,170"
"23/02/2022 23:26:00","50,000","42,170"
"23/02/2022 23:25:00","60,000","42,180"
"23/02/2022 23:24:00","60,000","42,170"
"23/02/2022 23:23:00","60,000","42,180"
"23/02/2022 23:22:00","60,000","42,190"
"23/02/2022 23:21:00","60,000","42,190"
"23/02/2022 23:20:00","60,000","42,190"
"23/02/2022 23:19:00","60,000","42,190"
"23/02/2022 23:18:00","60,000","42,190"
"23/02/2022 23:17:00","60,000","42,200"
"23/02/2022 23:16:00","60,000","42,200"
"23/02/2022 23:15:00","60,000","42,190"
"23/02/2022 23:14:00","60,000","42,190"
"23/02/2022 23:13:00","60,000","42,200"
"23/02/2022 23:12:00","60,000","42,210"
"23/02/2022 23:11:00","60,000","42,200"
"23/02/2022 23:10:00","60,000","42,210"
"23/02/2022 23:09:00","60,000","42,210"
"23/02/2022 23:08:00","60,000","42,210"
"23/02/2022 23:07:00","60,000","42,210"
"23/02/2022 23:06:00","60,000","42,210"
"23/02/2022 23:05:00","60,000","42,210"
"23/02/2022 23:04:00","60,000","42,210"
"23/02/2022 23:03:00","60,000","42,210"
"23/02/2022 23:02:00","60,000","42,210"
"23/02/2022 23:01:00","60,000","42,210"
"23/02/2022 23:00:00","60,000","42,210"
"23/02/2022 22:59:00","60,000","42,210"
"23/02/2022 22:58:00","60,000","42,210"
"23/02/2022 22:57:00","60,000","42,210"
"23/02/2022 22:56:00","60,000","42,200"
"23/02/2022 22:55:00","60,000","42,210"
"23/02/2022 22:54:00","60,000","42,200"
"23/02/2022 22:53:00","60,000","42,190"
"23/02/2022 22:52:00","60,000","42,200"
"23/02/2022 22:51:00","60,000","42,190"
"23/02/2022 22:50:00","60,000","42,190"
"23/02/2022 22:49:00","60,000","42,190"
"23/02/2022 22:48:00","60,000","42,180"
"23/02/2022 22:47:00","60,000","42,180"
"23/02/2022 22:46:00","60,000","42,180"
"23/02/2022 22:45:00","60,000","42,170"
"23/02/2022 22:44:00","60,000","42,160"
"23/02/2022 22:43:00","60,000","42,160"
"23/02/2022 22:42:00","60,000","42,160"
"23/02/2022 22:41:00","60,000","42,160"
"23/02/2022 22:40:00","60,000","42,150"
"23/02/2022 22:39:00","60,000","42,140"
"23/02/2022 22:38:00","60,000","42,150"
"23/02/2022 22:37:00","60,000","42,130"
"23/02/2022 22:36:00","60,000","42,120"
"23/02/2022 22:35:00","60,000","42,110"
"23/02/2022 22:34:00","60,000","42,110"
"23/02/2022 22:33:00","60,000","42,100"
"23/02/2022 22:32:00","60,000","42,090"
"23/02/2022 22:31:00","60,000","42,080"
"23/02/2022 22:30:00","60,000","42,080"
"23/02/2022 22:29:00","60,000","42,070"
"23/02/2022 22:28:00","60,000","42,060"
"23/02/2022 22:27:00","60,000","42,060"
"23/02/2022 22:26:00","60,000","42,040"
"23/02/2022 22:25:00","60,000","42,030"
"23/02/2022 22:24:00","60,000","42,020"
"23/02/2022 22:23:00","60,000","42,020"
"23/02/2022 22:22:00","60,000","42,000"
"23/02/2022 22:21:00","60,000","42,010"
"23/02/2022 22:20:00","60,000","41,990"
"23/02/2022 22:19:00","60,000","41,990"
"23/02/2022 22:18:00","60,000","41,980"
"23/02/2022 22:17:00","60,000","41,980"
"23/02/2022 22:16:00","60,000","41,970"
"23/02/2022 22:15:00","60,000","41,960"
"23/02/2022 22:14:00","60,000","41,950"
"23/02/2022 22:13:00","60,000","41,950"
"23/02/2022 22:12:00","60,000","41,940"
"23/02/2022 22:11:00","60,000","41,940"
"23/02/2022 22:10:00","60,000","41,940"
"23/02/2022 22:09:00","60,000","41,930"
"23/02/2022 22:08:00","60,000","41,930"
"23/02/2022 22:07:00","60,000","41,930"
"23/02/2022 22:06:00","60,000","41,930"
"23/02/2022 22:05:00","60,000","41,920"
